# ACTS Test Suite Generation: Mon Jun 21 23:46:25 CEST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 64
# Number of configurations: 128
Position,FigureOnPosition,Color,ThereArePossibleMoves
a1,true,BLACK,false
a1,false,WHITE,true
a2,true,WHITE,false
a2,false,BLACK,true
a3,true,WHITE,true
a3,false,BLACK,false
a4,true,WHITE,true
a4,false,BLACK,false
a5,true,WHITE,true
a5,false,BLACK,false
a6,true,WHITE,true
a6,false,BLACK,false
a7,true,WHITE,true
a7,false,BLACK,false
a8,true,WHITE,true
a8,false,BLACK,false
b1,true,WHITE,true
b1,false,BLACK,false
b2,true,WHITE,true
b2,false,BLACK,false
b3,true,WHITE,true
b3,false,BLACK,false
b4,true,WHITE,true
b4,false,BLACK,false
b5,true,WHITE,true
b5,false,BLACK,false
b6,true,WHITE,true
b6,false,BLACK,false
b7,true,WHITE,true
b7,false,BLACK,false
b8,true,WHITE,true
b8,false,BLACK,false
c1,true,WHITE,true
c1,false,BLACK,false
c2,true,WHITE,true
c2,false,BLACK,false
c3,true,WHITE,true
c3,false,BLACK,false
c4,true,WHITE,true
c4,false,BLACK,false
c5,true,WHITE,true
c5,false,BLACK,false
c6,true,WHITE,true
c6,false,BLACK,false
c7,true,WHITE,true
c7,false,BLACK,false
c8,true,WHITE,true
c8,false,BLACK,false
d1,true,WHITE,true
d1,false,BLACK,false
d2,true,WHITE,true
d2,false,BLACK,false
d3,true,WHITE,true
d3,false,BLACK,false
d4,true,WHITE,true
d4,false,BLACK,false
d5,true,WHITE,true
d5,false,BLACK,false
d6,true,WHITE,true
d6,false,BLACK,false
d7,true,WHITE,true
d7,false,BLACK,false
d8,true,WHITE,true
d8,false,BLACK,false
e1,true,WHITE,true
e1,false,BLACK,false
e2,true,WHITE,true
e2,false,BLACK,false
e3,true,WHITE,true
e3,false,BLACK,false
e4,true,WHITE,true
e4,false,BLACK,false
e5,true,WHITE,true
e5,false,BLACK,false
e6,true,WHITE,true
e6,false,BLACK,false
e7,true,WHITE,true
e7,false,BLACK,false
e8,true,WHITE,true
e8,false,BLACK,false
f1,true,WHITE,true
f1,false,BLACK,false
f2,true,WHITE,true
f2,false,BLACK,false
f3,true,WHITE,true
f3,false,BLACK,false
f4,true,WHITE,true
f4,false,BLACK,false
f5,true,WHITE,true
f5,false,BLACK,false
f6,true,WHITE,true
f6,false,BLACK,false
f7,true,WHITE,true
f7,false,BLACK,false
f8,true,WHITE,true
f8,false,BLACK,false
g1,true,WHITE,true
g1,false,BLACK,false
g2,true,WHITE,true
g2,false,BLACK,false
g3,true,WHITE,true
g3,false,BLACK,false
g4,true,WHITE,true
g4,false,BLACK,false
g5,true,WHITE,true
g5,false,BLACK,false
g6,true,WHITE,true
g6,false,BLACK,false
g7,true,WHITE,true
g7,false,BLACK,false
g8,true,WHITE,true
g8,false,BLACK,false
h1,true,WHITE,true
h1,false,BLACK,false
h2,true,WHITE,true
h2,false,BLACK,false
h3,true,WHITE,true
h3,false,BLACK,false
h4,true,WHITE,true
h4,false,BLACK,false
h5,true,WHITE,true
h5,false,BLACK,false
h6,true,WHITE,true
h6,false,BLACK,false
h7,true,WHITE,true
h7,false,BLACK,false
h8,true,WHITE,true
h8,false,BLACK,false
