# ACTS Test Suite Generation: Mon Jun 21 23:53:47 CEST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 2
# Maximum number of values per parameter: 64
# Number of configurations: 128
Position,ThereIsPossibleMove
a1,true
a1,false
a2,true
a2,false
a3,true
a3,false
a4,true
a4,false
a5,true
a5,false
a6,true
a6,false
a7,true
a7,false
a8,true
a8,false
b1,true
b1,false
b2,true
b2,false
b3,true
b3,false
b4,true
b4,false
b5,true
b5,false
b6,true
b6,false
b7,true
b7,false
b8,true
b8,false
c1,true
c1,false
c2,true
c2,false
c3,true
c3,false
c4,true
c4,false
c5,true
c5,false
c6,true
c6,false
c7,true
c7,false
c8,true
c8,false
d1,true
d1,false
d2,true
d2,false
d3,true
d3,false
d4,true
d4,false
d5,true
d5,false
d6,true
d6,false
d7,true
d7,false
d8,true
d8,false
e1,true
e1,false
e2,true
e2,false
e3,true
e3,false
e4,true
e4,false
e5,true
e5,false
e6,true
e6,false
e7,true
e7,false
e8,true
e8,false
f1,true
f1,false
f2,true
f2,false
f3,true
f3,false
f4,true
f4,false
f5,true
f5,false
f6,true
f6,false
f7,true
f7,false
f8,true
f8,false
g1,true
g1,false
g2,true
g2,false
g3,true
g3,false
g4,true
g4,false
g5,true
g5,false
g6,true
g6,false
g7,true
g7,false
g8,true
g8,false
h1,true
h1,false
h2,true
h2,false
h3,true
h3,false
h4,true
h4,false
h5,true
h5,false
h6,true
h6,false
h7,true
h7,false
h8,true
h8,false
